genero,idade,por_que_escolheu_ou_escolhe_andar_de_bicicleta_agrupado,ha_quanto_tempo_utiliza_agrupado,qual_e_o_principal_problema_que_voce_enfrenta_ao_andar_de_bicicleta_em_fortaleza_agrupado,tem_medo_de_sofrer_acidentes_andando_de_bicicleta_em_fortaleza_agrupado,sofreu_algum_acidente_no_ultimo_ano_agrupado,gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,edicao,voce_tem_alguma_sugestao_para_melhorar_a_qualidade_e_o_conforto_ao_andar_de_bicicleta_em_fortaleza_agrupado,voce_gostaria_de_trocar_a_bicicleta_por_outro_meio_de_transporte_agrupado,ha_quanto_tempo_ciclista_agrupado,voce_tem_medo_de_sofrer_acidentes_agrupado,ja_sofreu_algum_acidente_no_ultimo_ano_agrupado,existe_alguma_rua_em_fortaleza_em_que_voce_gostaria_de_ver_uma_ciclovia_agrupado,em_que_rua_gostaria_de_ver_uma_ciclovia_agrupado
Masculino,36,Mais fácil; Custo \ É mais barato,Mais de 5 anos,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia,Não,Não,Não,190825,,,,,,,
Masculino,50,Exercício e saúde; Rapidez \ Tempo,,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,36,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",190825,,,,,,,
Masculino,34,,Mais de 5 anos,Risco de acidentes,Não,Não,Não,190825,,,,,,,
Masculino,62,Preferência pessoal,,Desrespeito dos motoristas;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,49,Preferência pessoal; Rapidez \ Tempo; Segurança no trânsito,,Desrespeito dos motoristas;Falta de ciclovias;Medo de assaltos,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,42,Exercício e saúde; Praticidade e conveniência; Rapidez \ Tempo,,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia; Risco de acidentes,Medo de assalto e de acidente,Sim,Não,190825,,,,,,,
Feminino,39,Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,50,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas,Não,Sim,"Sim, por uma moto",190825,,,,,,,
Masculino,22,Exercício e saúde; Custo \ É mais barato,,Desrespeito dos motoristas; Risco de acidentes; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",190825,,,,,,,
Masculino,32,Exercício e saúde;Segurança no trânsito;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia; Risco de acidentes; Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto",190825,,,,,,,
Masculino,44,Custo \ É mais barato,Mais de 5 anos,,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,59,,Menos de um ano,,Não,Não,,190825,,,,,,,
Masculino,33,Segurança no trânsito; Preferência pessoal,Mais de 5 anos,Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",190825,,,,,,,
Masculino,54,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas;Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma bicicleta elétrica",190825,,,,,,,
Masculino,NULL,Exercício e saúde; Praticidade e conveniência; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,28,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Sinalização inadequada,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,39,Preferência pessoal; Praticidade e conveniência,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro",190825,,,,,,,
Masculino,56,Praticidade e conveniência; Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas;Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,36,Praticidade e conveniência,,Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta melhor",190825,,,,,,,
Masculino,51,Custo \ É mais barato; Única opção,Mais de 5 anos,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,38,Praticidade e conveniência; Mais fácil; Única opção,Entre 3 e 5 anos,Desrespeito dos motoristas;Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,64,,Mais de 5 anos,Invasão de carros ou motos na ciclovia;Desrespeito dos motoristas,"Sim, tenho medo de acidentes",Sim,,190825,,,,,,,
Masculino,22,Preferência pessoal,Entre 1 e 2 anos,Desrespeito dos motoristas;Risco de acidentes;Buracos na ciclovia;Falta de ciclovias;Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Feminino,22,Exercício e saúde,Menos de um ano,Falta de ciclovias;Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Feminino,36,Exercício e saúde; Rapidez \ Tempo,Menos de um ano,Medo de assaltos,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Feminino,27,Rapidez \ Tempo,,Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,50,Preferência pessoal,Mais de 5 anos,Falta de ciclovias,Não,Não,Não,190825,,,,,,,
Masculino,43,Exercício e saúde,Menos de um ano,Desrespeito dos motoristas;Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,50,Preferência pessoal,Mais de 5 anos,Sinalização inadequada;Falta de ciclovias;Má qualidade das ciclovias;Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",190825,,,,,,,
Masculino,31,Exercício e saúde,Entre 2 e 3 anos,Desrespeito dos motoristas; Invasão de carros ou motos na ciclovia; Falta de ciclovias,"Sim, tenho medo de acidentes",Sim,Não,190825,,,,,,,
Masculino,24,Exercício e saúde,Menos de um ano,"Falta de ciclovias, Buracos na ciclovia, Lixo na ciclovia, Má qualidade das ciclovias, Outros obstáculos na ciclovia","Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,27,Mais fácil;Praticidade e conveniência,Entre 3 e 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,190825,,,,,,,
Masculino,20,Única opção,Menos de um ano,Outros obstáculos na ciclovia,Não,Não,Não,190825,,,,,,,
Masculino,34 anos,Única opção,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",220925,,,,,,,
Masculino,40,Rapidez \ Tempo; Preferência pessoal,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,Não,Sim,"Sim, por uma moto",220925,,,,,,,
Masculino,46,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,,,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,38 anos,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,57,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Invasão de carros ou motos na ciclovia; Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",220925,,,,,,,
Masculino,66,Custo \ É mais barato;Praticidade e conveniência;Única opção,,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",220925,,,,,,,
Masculino,68 anos.,Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",220925,,,,,,,
Masculino,46 anos,Rapidez \ Tempo; Praticidade e conveniência; Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Não,"Sim, por uma moto ou por um carro",220925,,,,,,,
Masculino,22 anos,Exercício e saúde;Praticidade e conveniência,Menos de um ano,Medo de assaltos,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,28 anos,Praticidade e conveniência; Segurança no trânsito,Mais de 5 anos,Outros obstáculos na ciclovia,Não,Sim,Não,220925,,,,,,,
Masculino,67,Rapidez \ Tempo,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,20 anos,Custo \ É mais barato;Exercício e saúde,,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito; Risco de acidentes,Não,Sim,"Sim, por uma moto",220925,,,,,,,
Feminino,42 anos,Rapidez \ Tempo; Praticidade e conveniência; Mais fácil,Entre 3 e 5 anos,Risco de acidentes,,Não,Não,220925,,,,,,,
Masculino,42,Exercício e saúde; Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",220925,,,,,,,
Masculino,60 anos,Custo \ É mais barato;Única opção,Mais de 5 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",220925,,,,,,,
Masculino,35 anos.,Praticidade e conveniência; Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,220925,,,,,,,
Masculino,51,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Feminino,31,Única opção,Entre 2 e 3 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes","Sim, tenho medo de acidentes",Sim,"Sim, por um carro",220925,,,,,,,
Masculino,73,Preferência pessoal,Mais de 5 anos,Falta de ciclovias,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,30 anos,Exercício e saúde,Entre 3 e 5 anos,Sinalização inadequada; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,48 anos,Preferência pessoal,Mais de 5 anos,Buracos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",220925,,,,,,,
Masculino,53 anos,Rapidez \ Tempo; Praticidade e conveniência; Segurança no trânsito,Mais de 5 anos,Má qualidade das ciclovias; Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito; Lixo na ciclovia; Outros obstáculos na ciclovia,Medo de assalto e de acidente,Não,"Sim, por uma moto",220925,,,,,,,
Masculino,26 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",220925,,,,,,,
Feminino,27 anos,Única opção,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",220925,,,,,,,
Masculino,quase de 5 anos,Custo \ É mais barato,Mais de 5 anos,Lixo na ciclovia; Outros obstáculos na ciclovia,Não,Não,Não,220925,,,,,,,
Masculino,30,Rapidez \ Tempo,Entre 3 e 5 anos,"Desrespeito dos motoristas ou Trânsito, Má qualidade das ciclovias","Sim, tenho medo de acidentes",Sim,"Sim, por uma moto",220925,,,,,,,
Masculino,48,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,14 anos,Preferência pessoal,Menos de um ano,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Feminino,35 anos,Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,59 anos,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Não,Não,"Sim, por um carro",220925,,,,,,,
Feminino,39,Rapidez \ Tempo,Entre 3 e 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,"Sim, por uma bicicleta elétrica",220925,,,,,,,
Masculino,32 anos.,Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Não,"Sim, por uma moto",220925,,,,,,,
Masculino,49 anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,"Sim, tenho medo de acidentes",Sim,"Sim, mas não especifica qual meio",220925,,,,,,,
Masculino,28 anos,Praticidade e conveniência; Segurança no trânsito,Entre 1 e 2 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,46 anos,Exercício e saúde;Rapidez \ Tempo,,Lixo na ciclovia; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,61 anos,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,57,Exercício e saúde;Preferência pessoal,,Buracos na ciclovia,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,64,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,Não,Sim,"Sim, mas não especifica qual meio",220925,,,,,,,
Masculino,61,Preferência pessoal,Mais de 5 anos,Falta de ciclovias; Desrespeito dos motoristas ou Trânsito,Não,Não,Não,220925,,,,,,,
Masculino,29 anos,Exercício e saúde;Única opção,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, mas não especifica qual meio",220925,,,,,,,
Masculino,47 anos.,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Buracos na ciclovia; Má qualidade das ciclovias,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,28 anos,Praticidade e conveniência,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",220925,,,,,,,
Masculino,39 anos,Praticidade e conveniência; Mais fácil,Mais de 5 anos,Falta de ciclovias; Sinalização inadequada,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,53 anos,Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,63 anos,Exercício e saúde; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto ou por um carro",220925,,,,,,,
Masculino,49 anos,Exercício e saúde,Mais de 5 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,22 anos,Praticidade e conveniência;Preferência pessoal,Entre 2 e 3 anos,Má qualidade das ciclovias; Buracos na ciclovia; Lixo na ciclovia; Invasão de carros ou motos na ciclovia; Sinalização inadequada,"Sim, tenho medo de acidentes",Sim,"Sim, por um carro;Sim, por uma bicicleta melhor",220925,,,,,,,
Masculino,41 anos,Rapidez \ Tempo;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,53 anos,Custo \ É mais barato,Entre 3 e 5 anos,,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Feminino,36,Exercício e saúde; Praticidade e conveniência; Custo \ É mais barato; Mais fácil; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,Não,Não,"Não; Sim, por uma moto",220925,,,,,,,
Masculino,59 anos,Exercício e saúde; Praticidade e conveniência; Mais fácil; Preferência pessoal,Mais de 5 anos,Lixo na ciclovia,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,63 anos de idade,Rapidez \ Tempo; Custo \ É mais barato; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Medo de assalto e de acidente,Sim,Não,220925,,,,,,,
Feminino,27,Exercício e saúde; Preferência pessoal,Entre 3 e 5 anos,Lixo na ciclovia; Medo de assaltos; Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,21 anos,Rapidez \ Tempo,Entre 2 e 3 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Feminino,57,Rapidez \ Tempo,Menos de um ano,"Má qualidade das ciclovias, Invasão de carros ou motos na ciclovia","Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Masculino,66 anos,Exercício e saúde,Entre 1 e 2 anos,Desrespeito dos motoristas ou Trânsito,Não,Não,Não,220925,,,,,,,
Masculino,38 anos,Exercício e saúde,Mais de 5 anos,Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Sim,Não,220925,,,,,,,
Feminino,13,Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",220925,,,,,,,
Masculino,37 anos,Praticidade e conveniência;Preferência pessoal,Mais de 5 anos,"Desrespeito dos motoristas ou Trânsito, Risco de acidentes",Não,Não,Não,220925,,,,,,,
Masculino,18 anos,Exercício e saúde;Rapidez \ Tempo,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,25 anos,Exercício e saúde,Menos de um ano,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,Não,220925,,,,,,,
Masculino,Seis,Praticidade e conveniência,Entre 1 e 2 anos,Calor ou clima,Não,Não,O conteúdo selecionado é uma pergunta e não pode ser classificado nas opções fornecidas.,220925,,,,,,,
Feminino,33 anos,Praticidade e conveniência; Preferência pessoal,Entre 3 e 5 anos,Buracos na ciclovia; Má qualidade das ciclovias; Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,Não,Sim,Não,220925,,,,,,,
Masculino,A idade da pessoa não está no texto.,Custo \ É mais barato; Única opção,,Falta de ciclovias,Não,Sim,"Sim, mas não especifica qual meio",220925,,,,,,,
Masculino,58,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,,230524,Asfalto/Lixo,Não,,,,Não especificado,
Feminino,46,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,230524,Limpeza,Não,,,,Não especificado,
Masculino,45,Exercício e saúde;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,230524,Ciclofaixa,"Sim, por uma moto ou por um carro",,,,Avenida Abolição,
Feminino,45,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito; Falta de ciclovias,,,,230524,Educação,Não,,,,Costa Barros/Santos Dumont,
Masculino,28,Praticidade e conveniência;Custo \ É mais barato;Preferência pessoal,,"Lixo na ciclovia, Buracos na ciclovia",,,,230524,Limpeza,Não,,,,Ponte Sivieira/Alimentar,
Masculino,35,Praticidade e conveniência;Mais fácil,,Desrespeito dos motoristas ou Trânsito,,,,230524,Sinalização,Não,,,,Não especificado,
Masculino,22,Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,230524,Faixa/Obstáculo,Não,,,,Borges de Melo/BR,
Masculino,33,Praticidade e conveniência;Mais fácil,,Má qualidade das ciclovias,,,,230524,Revitalização/Asfalto/Buraco,Não,,,,Silas Manguba,
Masculino,Meia-seis,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,230524,Educação,"Sim, por um carro",,,,Não especificado,
Masculino,55,Exercício e saúde,,"Desrespeito dos motoristas ou Trânsito, Invasão de carros ou motos na ciclovia",,,,230524,Ciclofaixa,Não,,,,Não especificado,
Feminino,40,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,230524,Educação,Não,,,,Não especificado,
Masculino,49,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Risco de acidentes,,,,230524,Ciclofaixa,Não,,,,Não especificado,
Feminino,28,Exercício e saúde;Rapidez \ Tempo;Preferência pessoal,,Calor ou clima; Desrespeito dos motoristas ou Trânsito,,,,230524,Respeito/Motorista,Não,,,,Pista Madeira,
Masculino,51,Exercício e saúde;Custo \ É mais barato,,Buracos na ciclovia; Má qualidade das ciclovias,,,,230524,Ciclovia/Carro/Venda,Não,,,,Não especificado,
Masculino,22,Rapidez \ Tempo;Custo \ É mais barato;Praticidade e conveniência;Segurança no trânsito,,Desrespeito dos motoristas ou Trânsito,,,,230524,Conscientização/Motorista,"Sim, mas não especifica qual meio",,,,3 de Maio,
Masculino,31,Praticidade e conveniência,,Buracos na ciclovia; Outros obstáculos na ciclovia,,,,230524,NA,Não,,,,São Paulo/Francisco Sá,
Masculino,39,Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,230524,Asfalto,Não,,,,Pirambu,
Masculino,22,Exercício e saúde;Preferência pessoal,,Buracos na ciclovia,,,,230524,NA,Não,,,,Não especificado,
Masculino,42,Praticidade e conveniência,,Buracos na ciclovia; Lixo na ciclovia; Outros obstáculos na ciclovia,,,,230524,NA,Não,,,,NA,
Masculino,44,Exercício e saúde;Custo \ É mais barato,,Má qualidade das ciclovias,,,,230524,Conserto/Chuva/Esgoto,Não,,,,Não especificado,
Masculino,42,,,Falta de ciclovias,,,,230524,Trânsito,Não,,,,Não especificado,
Masculino,Sete e três,Preferência pessoal,,,,,,230524,Trânsito,Não,,,,Não especificado,
Masc...,26,Rapidez \ Tempo;Praticidade e conveniência,,"Má qualidade das ciclovias, Desrespeito dos motoristas ou Trânsito",,,,230524,Conscientização/Motorista/Ciclofaixa,Não,,,,Desembargador Moreno,
Masculino,61,Única opção,,Desrespeito dos motoristas ou Trânsito,,,,230524,Educação/Ciclista,,,,,NA,
,35,,,Má qualidade das ciclovias; Calor ou clima; Outros obstáculos na ciclovia,,,,230524,NA,,,,,Francisco Sá/Barra,
Masculino,51,Exercício e saúde;Preferência pessoal,,Desrespeito dos motoristas ou Trânsito,,,,230524,NA,Não,,,,Não especificado,
Masculino,Desconhecida,Praticidade e conveniência,,Medo de assaltos,,,,230524,Respeito/Ciclista,Não,,,,Ampliação de ciclovias em geral,
Feminino,37,Rapidez \ Tempo;Segurança no trânsito,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,230524,NA,Não,,,,Francisca/Atacadão,
Masculino,61,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia,,,,230524,Extensão/Ciclovia,Não,,,,Augusto dos Anjos/Jovita Feitosa,
Feminino,53,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,230524,Placas/Ciclovia,Não,,,,Leste Oeste,
Masculino,55,Exercício e saúde,,Buracos na ciclovia,,,,230524,Sinalização/Manutenção/Ciclovia,Não,,,,Alberto Monte,
Masculino,Desconhecida,,,Desrespeito dos motoristas ou Trânsito,,,,230524,Reparos/Ciclovia,Não,,,,Misterral,
Masculino,47,Exercício e saúde;Custo \ É mais barato,,Falta de ciclovias,,,,230524,Ciclovia/Segurança,Não,,,,Augusto dos Anjos,
Masculino,34,Rapidez \ Tempo;Praticidade e conveniência,,Invasão de carros ou motos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,230524,Regras/Motociclistas,"Sim, mas não especifica qual meio",,,,Não especificado,
Masculino,53,Exercício e saúde;Rapidez \ Tempo,,Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,,,,230524,NA,Não,,,,BR116,
Masculino,40,Rapidez \ Tempo,,Buracos na ciclovia,,,,230524,Sinalização,Não,,,,Não especificado,
Masculino,50,Exercício e saúde,,Invasão de carros ou motos na ciclovia,,,,230524,Barreiras/Ciclovia,Não,,,,Generalização para mais ciclovias,
Feminino,43,Rapidez \ Tempo;Praticidade e conveniência,,Desrespeito dos motoristas ou Trânsito,,,,230524,NA,Não,,,,Não especificado,
Masculino,38,Rapidez \ Tempo,,Buracos na ciclovia; Lixo na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,230524,Conscientização/Motoristas,Não,,,,Bairro onde mora,
Masculino,49,Segurança no trânsito,,Falta de ciclovias; Má qualidade das ciclovias,,,,230524,Asfalto/Ciclovia,"Sim, por um carro",,,,Não especificado,
Masculino,7,Mais fácil,,Outros obstáculos na ciclovia,,,,230524,Áreas/Bicicleta/Rampas,"Sim, por uma bicicleta elétrica",,,,Não especificado,
Masculino,37,Exercício e saúde;Rapidez \ Tempo,,Desrespeito dos motoristas ou Trânsito,,,,230524,Proteção/Ciclofaixa,Não,,,,Corredor de Jovita,
Masculino,31,Exercício e saúde;Praticidade e conveniência,,"Desrespeito dos motoristas ou Trânsito, Sinalização inadequada",,,,230524,Conscientização/Motoristas,Não,,,,Não especificado,
Masculino,55,Exercício e saúde,,Desrespeito dos motoristas ou Trânsito,,,,230524,NA,Não,,,,Expansão para bairros mais afastados,
Não especificado,35,Rapidez \ Tempo;Preferência pessoal,,Buracos na ciclovia; Desrespeito dos motoristas ou Trânsito,,,,230524,Conscientização/Motoristas,Não,,,,Pontes Vieira,
-,36,Exercício e saúde;Mais fácil;Custo \ É mais barato,,Falta de ciclovias,,,,230524,Ciclovia,"Sim, mas não especifica qual meio",,,,Periferia,
-,35,Preferência pessoal;Rapidez \ Tempo,,"Buracos na ciclovia, Desrespeito dos motoristas ou Trânsito, Má qualidade das ciclovias",,,,230524,Conscientização/Motoristas/Ônibus,"Sim, mas não especifica qual meio",,,,Zóio de Paiva,
Indefinido,-,,,,,,,230524,NA,Não,,,,NA,
Masculino,39 anos,Preferência pessoal; Praticidade e conveniência,Entre 1 e 2 anos,"Má qualidade das ciclovias, Outros obstáculos na ciclovia",Não,Não,"Sim, por uma moto",260226,,,,,,,
Masculino,64,Preferência pessoal,Entre 1 e 2 anos,Outros obstáculos na ciclovia,Não,Não,"Sim, por um carro",260226,,,,,,,
Masculino,Meia unha (51 anos),Rapidez \ Tempo; Custo \ É mais barato,Mais de 5 anos,Risco de acidentes,"Sim, tenho medo de acidentes",Não,Não,260226,,,,,,,
Masculino,Trinta e sete,Exercício e saúde; Custo \ É mais barato; Praticidade e conveniência,Mais de 5 anos,Outros obstáculos na ciclovia,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,40 anos,Rapidez \ Tempo; Praticidade e conveniência,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por um carro",260226,,,,,,,
Masculino,Quarenta anos,Exercício e saúde,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,"Sim, tenho medo de acidentes",Não,"Sim, por uma moto",260226,,,,,,,
Masculino,48 anos,Exercício e saúde;Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito,Não,Sim,Não,260226,,,,,,,
Masculino,54 anos,Rapidez \ Tempo; Custo \ É mais barato; Preferência pessoal,Mais de 5 anos,Desrespeito dos motoristas ou Trânsito; Invasão de carros ou motos na ciclovia; Outros obstáculos na ciclovia,Não,Não,"Sim, por uma moto",260226,,,,,,,
